key_value,norm_value
cañada,Cañada
cañadas,Cañada
Canal,Canal
canal,Canal
Canal,Canal
canal,Canal
Canal,Canal
canal,Canal
canales,Canal
Canales,Canal
canales,Canal
cañaverales,Cañaveral
caño,Caño
Caño,Caño
caño,Caño
Caño,Caño
caño,Caño
Caño,Caño
caño,Caño
caños,Caño
Cantón,Cantón
cantón,Cantón
Cantón,Cantón
Cantón de Indios,Cantón
Cantones,Cantón
Cap.a Gen.l,Capitanía General
Capilla,Capilla
Capillas,Capilla
Capital,Capital
Capital de Gobierno,Capital
Capitales,Capital
Capitanía,Capitanía
Capitanía Gen.l,Capitanía General
Capitanía General,Capitanía General
Capitanías,Capitanía
caribe,Caribe
Caribe,Caribe
Caribes,Caribe
Casa de Estudios,Casa De Estudio
casa fuerte,Fuerte
cascada,Cascada
Cascada,Cascada
cascada,Cascada
cascadas,Cascada
Casta,Casta
castas,Casta
castas de color,Casta
Castillo,Castillo
castillo,Castillo
Castillo,Castillo
castillo,Castillo
Castillo,Castillo
castillo,Castillo
castillos,Castillo
Castillos,Castillo
castillos,Castillo
Castillos,Castillo
castillos,Castillo
Castillos,Castillo
catarata,Catarata
Catedral,Catedral
cayo,Cayo
Cayo,Cayo
cayo,Cayo
Cayo,Cayo
cayo,Cayo
Cayo,Cayo
cayo,Cayo
Cayo,Cayo
cayos,Cayo
Cayos,Cayo
cayos,Cayo
centinelas,Centinela
cerca,Cerca
Cerro,Cerro
cerro,Cerro
Cerro,Cerro
cerro,Cerro
Cerro,Cerro
cerro,Cerro
cerros,Cerro
Cerros,Cerro
cerros,Cerro
Cerros,Cerro
cerros,Cerro
chacra,Chacra
Chacra,Chacra
Chacras,Chacra
chacras,Chacra
Chalaes,
chapetones,Chapetón
Chapetones,Chapetón
charcon,Charcón
Chinos,Chino
Cholo,Cholo
Christianos,Christiano
Cienega,Ciénega
ciénega,Ciénega
Ciénega,Ciénega
ciénega,Ciénega
cienegas,Cienega
ciénegas,Ciénega
Ciénegas,Ciénega
ciénegas,Ciénega
cimarrones,Cimarrón
Ciudad,Ciudad
Ciudad Capital,Ciudad
Ciudad Real,Ciudad
Ciudadanos,Ciudadano
ciudadela,Ciudadela
Ciudadela,Ciudadela
Ciudades,Ciudad
CIUDADES,Ciudad
Ciudades,Ciudad
CIUDADES,Ciudad
Ciudades,Ciudad
CIUDADES,Ciudad
Colegio,Colegio
Colegios,Colegio
colina,Colina
Colina,Colina
colina,Colina
colinas,Colina
Colinas,Colina
colinas,Colina
Colinas,Colina
colinas,Colina
Colinas,Colina
Colonia,Colonia
Colonias,Colonia
Colonos,Colono
colonos,Colono
Colonos,Colono
colonos,Colono
Colonos,Colono
Colonos blancos,Colono
Comandancia general,Comandancia General
comarca,Comarca
Comarca,Comarca
comarca,Comarca
Comarcas,Comarca
comarcas,Comarca
Conchucos,Conchuco
Condado,Condado
Condados,Condado
Confluente,Confluente
Congos,Congo
Convento,Convento
Conventos,Convento
cordillera,Cordillera
Cordillera,Cordillera
cordillera,Cordillera
Cordillera,Cordillera
cordillera,Cordillera
Cordillera,Cordillera
cordillera,Cordillera
Cordillera,Cordillera
cordilleras,Cordillera
Cordilleras,Cordillera
cordilleras,Cordillera
Cordilleras,Cordillera
cordilleras,Cordillera
corrales,Corral
Correg.tos,Corregimiento
Corregimiento,Corregimiento
corregimiento,Corregimiento
Corregimiento,Corregimiento
Corregimiento de Indios,Corregimiento
Corregimientos,Corregimiento
Corregimientos de Indios,Corregimiento
Costa,Costa
costa,Costa
Costa,Costa
costa,Costa
Costa,Costa
costa,Costa
Costa,Costa
costa,Costa
Costas,Costa
costas,Costa
Costas,Costa
costas,Costa
Costas,Costa
costas,Costa
Costas,Costa
costas,Costa
Criollos,Criollo
criollos,Criollo
Criollos,Criollo
criollos,Criollo
Criollos,Criollo
criollos,Criollo
Criollos,Criollo
cruel,Cruel
cuesta,Cuesta
cueva,Cueva
Curato,Curato
curato,Curato
Curato,Curato
curato,Curato
Curato,Curato
Curatos,Curato
desaguadero,Desaguadero
desague,Desagüe
Desague,Desagüe
desague,Desagüe
desagüe,Desagüe
desagues,Desagüe
desagües,Desagüe
desierto,Desierto
Desierto,Desierto
desierto,Desierto
Desierto,Desierto
desierto,Desierto
desiertos,Desierto
despoblado,Despoblado
Despoblado,Despoblado
despoblado,Despoblado
despoblados,Despoblado
Diócesis,Diócesis
dique,Dique
distrito,Distrito
distrito ,Distrito 
distritos,Distrito
doctrina,Doctrina
Doctrina,Doctrina
doctrina,Doctrina
Doctrina,Doctrina
doctrina,Doctrina
Doctrina,Doctrina
doctrina,Doctrina
Doctrinas,Doctrina
Ducado,Ducado
Egido,Ejido
embarcadero,Embarcadero
Ensenada,Ensenada
ensenada,Ensenada
Ensenada,Ensenada
ensenada,Ensenada
Ensenada,Ensenada
ensenada,Ensenada
Ensenada,Ensenada
ensenada,Ensenada
Ensenada,Ensenada
Ensenadas,Ensenada
ensenadas,Ensenada
Ensenadas,Ensenada
ensenadas,Ensenada
Ensenadas,Ensenada
ensenadas,Ensenada
Entrada,Entrada
entrada,Entrada
Ermita,Ermita
ermitas,Ermita
esclavos,Esclavo
Esclavos,Esclavo
esclavos,Esclavo
escollo,Escollo
escollos,Escollo
Escollos,Escollo
escollos,Escollo
Españolas,Español
Españoles,Español
españoles,Español
Españoles,Español
españoles,Español
Españoles,Español
Españoles Europeos,Español
establecimento,Establecimento
establecimiento,Establecimiento
Establecimiento,Establecimiento
establecimiento,Establecimiento
establecimientos,Establecimiento
Estados,Estado
estancia,Estancia
estancias,Estancia
estancilla,Estancilla
Estanque,Estanque
estanques,Estanque
Estero,Estero
estero,Estero
Estero,Estero
estero,Estero
Estero,Estero
esteros,Estero
estío,Estío
Estío,Estío
estío,Estío
Estío,Estío
estrecho,Estrecho
Estrecho,Estrecho
estrecho,Estrecho
Estrecho,Estrecho
estrecho,Estrecho
Estrecho,Estrecho
estrecho,Estrecho
Estrecho,Estrecho
Estrechos,Estrecho
estrechos,Estrecho
Estrechura,Estrechura
Europeos,Europeo
Extrecho,Estrecho
extrecho,Estrecho
extremidad,Extremidad
Extremidad,Extremidad
extremidad,Extremidad
extremidad de tierra,Extremidad
extremidades,Extremidad
eyno,Eyno
factoría,Factoría
Factoría,Factoría
factoría,Factoría
factorías,Factoría
Farallón,Farallón
farallón,Farallón
Farallón,Farallón
farallón,Farallón
Farallón,Farallón
farallón,Farallón
Farallones,Farallón
farallones,Farallón
Farrallon,Farallón
feroces,Feroz
feroz,Feroz
fila de peñas,Fila De Peñas
Forasteros,Forastero
fortaleza,Fortaleza
Fortaleza,Fortaleza
fortaleza,Fortaleza
Fortaleza,Fortaleza
fortaleza,Fortaleza
Fortaleza,Fortaleza
fortaleza,Fortaleza
Fortaleza,Fortaleza
Fortalezas,Fortaleza
fortalezas,Fortaleza
Fortalezas,Fortaleza
fortalezas,Fortaleza
Fortalezas,Fortaleza
fortalezas,Fortaleza
Fortalezas,Fortaleza
fortalezas,Fortaleza
foso,Foso
Fourches,Fourche
Franceses,Francés
Freeholder,Freeholder
Fronteras,Frontera
fuente,Fuente
Fuente,Fuente
fuente,Fuente
fuentes,Fuente
FUENTES,Fuente
Fuerte,Fuerte
fuerte,Fuerte
Fuerte,Fuerte
fuerte,Fuerte
Fuerte,Fuerte
fuerte,Fuerte
Fuerte,Fuerte
Fuerte del Gallo,Fuerte
fuertecillo,Fuertecillo
fuertes,Fuerte
Fuertes,Fuerte
fuertes,Fuerte
Fuertes,Fuerte
fuertes,Fuerte
FUERTES,Fuerte
fuertes,Fuerte
fuerza,Fuerza
gente de color,Gente De Color
gentes de color,Gente De Color
Gentiles,Gentil
gentiles,Gentil
Gigantes Patagones,Gigante
Gobierno,Gobierno
gobierno,Gobierno
Gobierno,Gobierno
gobierno,Gobierno
Gobierno,Gobierno
gobierno,Gobierno
Gobierno,Gobierno
gobierno,Gobierno
Gobiernos,Gobierno
Golfo,Golfo
golfo,Golfo
Golfo,Golfo
golfo,Golfo
Golfo,Golfo
golfo,Golfo
Golfo,Golfo
golfo,Golfo
Golfo,Golfo
GOLFOS,Golfo
guardia,Guardia
Guardia,Guardia
guardias,Guardia
Guardias,Guardia
Habitación,Habitación
Habra,Abra
hacienda,Hacienda
Hacienda,Hacienda
hacienda,Hacienda
Hacienda,Hacienda
haciendas,Hacienda
Haciendas,Hacienda
haciendas,Hacienda
hatos,Hato
Hermita,Hermita
Hermitas,Hermita
Hospedería,Hospedería
Hospital,Hospital
Iglesia,Iglesia
Iglesia Catedral,Iglesia
Iglesias,Iglesia
Imperio,Imperio
Indias,Indio
Indios,Indio
indios,Indio
Indios,Indio
indios,Indio
Indios,Indio
indios,Indio
Indios,Indio
indios,Indio
Indios,Indio
indios,Indio
Indios amigos,Indio
Indios bárbaros,Indio
Indios barbaros infieles,Indio
Indios Belicosos,Indio
Indios Caciques,Cacique
Indios Caribes,Indio
Indios feroces,Indio
Indios Gentiles,Indio
Indios gentiles,Indio
Indios infieles,Indio
Indios Infieles,Indio
Indios infieles,Indio
Indios Infieles,Indio
Indios infieles,Indio
Indios Neófitos,Indio
Indios nobles,Indio
Indios Salvages,Indio
Indios salvages,Indio
Indios salvajes,Indio
Infieles,Infiel
infieles,Infiel
Infieles,Infiel
infieles,Infiel
Infieles,Infiel
infieles,Infiel
ingenio,Ingenio
ingenios,Ingenio
Ingenios,Ingenio
ingenios,Ingenio
Isla,Isla
isla,Isla
ISLA,Isla
Isla,Isla
isla,Isla
Isla,Isla
isla,Isla
Isla,Isla
isla,Isla
Isla,Isla
isla,Isla
Islas,Isla
ISLAS,Isla
islas,Isla
Islas,Isla
ISLAS,Isla
Islas,Isla
ISLAS,Isla
islas,Isla
Islas,Isla
islas,Isla
isleta,Isleta
Isleta,Isleta
isleta,Isleta
Isleta,Isleta
isleta,Isleta
Isleta,Isleta
isleta,Isleta
Isletas,Isleta
isletas,Isleta
Isletas,Isleta
isletas,Isleta
Isletas,Isleta
Islote,Islote
islote,Islote
Islote,Islote
islote,Islote
Islote,Islote
islote,Islote
Islote,Islote
islote,Islote
Islotes,Islote
islotes,Islote
Islotes,Islote
islotes,Islote
Islotes,Islote
islotes,Islote
Islotes,Islote
islotes,Islote
istmo,Istmo
Istmo,Istmo
istmo,Istmo
Istmo,Istmo
itsmo,Istmo
Itsmo,Istmo
itsmo,Istmo
Itsmo,Istmo
itsmo,Istmo
Iztmo,Istmo
jurisdiccion,Jurisdicción
Jurisdiccion,Jurisdicción
jurisdiccion,Jurisdicción
Jurisdiccion,Jurisdicción
Jurisdicción,Jurisdicción
jurisdicción,Jurisdicción
Jurisdicción,Jurisdicción
jurisdicción,Jurisdicción
Jurisdicción,Jurisdicción
jurisdicción,Jurisdicción
Jurisdicción,Jurisdicción
jurisdiccíon,Jurisdicción
jurisdicciones,Jurisdicción
Jurisdicciones,Jurisdicción
jurisdicciones,Jurisdicción
Jurisdicciones,Jurisdicción
jurisdicion,Jurisdicción
Jurisdicion,Jurisdicción
jurisdición,Jurisdicción
Jurisdición,Jurisdicción
jurisdiciones,Jurisdicción
jurisdiciónes,Jurisdicción
Ladinos,Ladino
lago,Lago
Lago,Lago
lago,Lago
Lago,Lago
lago,Lago
Lago,Lago
lago,Lago
Lago,Lago
lagos,Lago
Lagos,Lago
lagos,Lago
LAGOS,Lago
Lagos,Lago
lagos,Lago
Laguna,Laguna
laguna,Laguna
Laguna,Laguna
laguna,Laguna
Laguna,Laguna
laguna,Laguna
Laguna,Laguna
lagunas,Laguna
Lagunas,Laguna
lagunas,Laguna
Lagunas,Laguna
LAGUNAS,Laguna
Lagunas,Laguna
lagunas,Laguna
Lagunas,Laguna
lagunas,Laguna
Lagunas,Laguna
lagunétas,Laguneta
Lavaderos,Lavadero
lavaderos,Lavadero
Lengua,Lengua
lengua,Lengua
lengua de tierra,Lengua
Lengua de tierra,Lengua
Lengua de Tierra,Lengua
lengua de tierra,Lengua
Lengua de tierra,Lengua
lengua de tierra,Lengua
libres,Libre
llano,Llano
Llano,Llano
llano,Llano
Llano,Llano
llano,Llano
Llano,Llano
llanos,Llano
Llanos,Llano
llanos,Llano
Llanos,Llano
llanos,Llano
Llanos,Llano
llanos,Llano
Llanos,Llano
llanura,Llanura
Llanura,Llanura
llanura,Llanura
Llanura,Llanura
llanura,Llanura
Llanura,Llanura
llanura,Llanura
Llanura,Llanura
llanura,Llanura
Llanura,Llanura
llanuras,Llanura
Llanuras,Llanura
llanuras,Llanura
Llanuras,Llanura
llanuras,Llanura
loma,Loma
Loma,Loma
loma,Loma
lomas,Loma
lsla,Isla
Mainas,
manantial,Manantial
manantiales,Manantial
Mandingas,Mandinga
mar,Mar
Mar,Mar
mar,Mar
Mar,Mar
mar,Mar
Mar,Mar
mar,Mar
Mar,Mar
mare,Mar
Mares,Mar
mares,Mar
Mares,Mar
Marquesado,Marquesado
Mayorazgo,Mayorazgo
medano,Médano
medanos,Médano
médanos de arena,Médano
media luna,Media Luna
Mesa,Mesa
mesa,Mesa
Mesa,Mesa
mesa,Mesa
Mesa,Mesa
mesa,Mesa
Mesas,Mesa
Mestizos,Mestizo
mestizos,Mestizo
Mestizos,Mestizo
mina,Mina
Mina,Mina
mina,Mina
Mina,Mina
mina,Mina
Mina,Mina
mina,Mina
minas,Mina
Minas,Mina
minas,Mina
Minas,Mina
minas,Mina
Minas,Mina
minas,Mina
Minas,Mina
minas,Mina
Minas,Mina
mineral,Mineral
Mineral,Mineral
mineral,Mineral
minerales,Mineral
Minerales,Mineral
minerales,Mineral
Misión,Misión
Misiones,Misión
Mitayos,Mitayo
molino,Molino
molinos,Molino
Monasterio,Monasterio
Monasterios,Monasterio
montaña,Montaña
Montaña,Montaña
montaña,Montaña
Montaña,Montaña
montaña,Montaña
Montaña,Montaña
montaña,Montaña
montañas,Montaña
Montañas,Montaña
montañas,Montaña
Montañas,Montaña
montañas,Montaña
Montañas,Montaña
montañas,Montaña
Montañas,Montaña
Monte,Monte
monte,Monte
Monte,Monte
monte,Monte
Monte,Monte
monte,Monte
Monte,Monte
monte,Monte
Monte,Monte
montecillo,Montecillo
montecillos,Montecillo
Montes,Monte
montes,Monte
Montes,Monte
montes,Monte
MONTES,Monte
Montes,Monte
montes,Monte
Montes,Monte
montes,Monte
MONTES,Monte
Montes,Monte
montes,Monte
montezuelo,Montezuelo
morro,Morro
Morro,Morro
morro,Morro
Morro,Morro
morro,Morro
Morro,Morro
morro,Morro
morros,Morro
Morros,Morro
morros,Morro
Mote,Mote
Mulatos,Mulato
mulatos,Mulato
Mulatos,Mulato
mulatos esclavos,Mulato
mulatos libres,Mulato
Murallón de peña,Murallón
nacion,Nación
Nacion,Nación
nación,Nación
Nación,Nación
nación,Nación
Nación,Nación
nación,Nación
Nación,Nación
nación,Nación
Nacion bárbara,Nación
Nación barbara,Nación
Nación Bárbara,Nación
Nación bárbara,Nación
nación bárbara,Nación
Nación bárbara,Nación
Nación bárbara de ,Nación
Nación bárbara de Indios,Nación
Nacion bárbara de Indios belicosos,Nación
Nación bárbara poco conocida de Indios,Nación
Nación bárbara y feroz,Nación
nación Caribes,Nación
nación de Indios,Nación
Nación de Indios,Nación
nación de Indios,Nación
Nación de Indios,Nación
nación de Indios,Nación
Nación de Indios,Nación
nación de Indios,Nación
Nación de Indios,Nación
nación de Indios bárbaros,Nación
Nación de Indios bárbaros,Nación
Nación de Infieles,Nación
Naciones,Nación
naciones,Nación
Naciones,Nación
naciones,Nación
NACIONES,Nación
Naciones,Nación
naciones,Nación
Naciones,Nación
naciones,Nación
NACIONES,Nación
Naciones,Nación
naciones,Nación
Naciones Bárb.,Nación
Naciones barbaras,Nación
NACIONES BARBARAS,Nación
Naciones bárbaras,Nación
naciones bárbaras,Nación
NACIONES Bárbaras,Nación
Naciones bárbaras,Nación
naciones bárbaras,Nación
Naciones bárbaras,Nación
Naciones bárbaras de Indios,Nación
Naciones de Indios,Nación
naciones de Indios,Nación
Naciones de Indios,Nación
naciones de Indios,Nación
Naciones de Indios,Nación
naciones de Indios,Nación
Naciones Europeas,Nación
Naciones infieles,Nación
naciones salvages,Nación
Naciones salvages,Nación
naturales,Natural
Naturales,Natural
naturales,Natural
Naturales,Natural
naturales,Natural
Negras,Negra
Negros,Negro
negros,Negro
Negros,Negro
negros,Negro
Negros,Negro
negros,Negro
Negros Esclavos,Negro
Negros esclavos,Negro
negros esclavos,Negro
Negros esclavos,Negro
negros esclavos,Negro
Negros esclavos,Negro
negros esclavos,Negro
Negros esclavos,Negro
Negros libres,Negro
Obispado,Obispado
Obispados,Obispado
obrage,Obrage
Obrage,Obrage
obrages,Obraje
Obrajes,Obraje
ojo de agua,Ojo De Agua
País,País
país,País
País,País
país,País
País,País
país,País
País,País
país,País
País,País
Países,País
Palacios,Palacio
palizada,Palizada
pampas,Pampa
Pampas,Pampa
pampas,Pampa
Pampas,Pampa
pantano,Pantano
pantanos,Pantano
Pantanos,Pantano
pantanos,Pantano
pántanos,Pantano
parage,Paraje
Parage,Paraje
parage,Paraje
Parage,Paraje
paraje,Paraje
Paramillo,Paramillo
paramo,Páramo
Páramo,Páramo
paramo,Páramo
Páramo,Páramo
páramo,Páramo
Páramo,Páramo
páramo,Páramo
Páramo,Páramo
páramo,Páramo
Páramo,Páramo
páramo,Páramo
Páramo,Páramo
paramos,Páramo
Páramos,Páramo
páramos,Páramo
Páramos,Páramo
parcialidad,Parcialidad
parcialidades,Parcialidad
Pardos,Pardo
París,París
Parroquia,Parroquia
Parroquias,Parroquia
Partido,Partido
partido,Partido
Partido,Partido
partido,Partido
Partido,Partido
partido,Partido
Partido,Partido
partido,Partido
Partido,Partido
Partido de jurisdición,Partido
partidos,Partido
Partidos,Partido
partidos,Partido
Partidos,Partido
partidos,Partido
pasage,Pasaje
Paso,Paso
paso,Paso
Paso,Paso
paso,Paso
Paso,Paso
Pedazo,Pedazo
pedregales,Pedregal
peña,Peña
Peña,Peña
peña,Peña
Peña,Peña
peña,Peña
Peña,Peña
peña,Peña
peñas,Peña
Peñas,Peña
peñas,Peña
peñasco,Peñasco
Peñasco,Peñasco
peñasco,Peñasco
Peñasco,Peñasco
peñasco,Peñasco
Peñasco,Peñasco
peñasco,Peñasco
peñascos,Peñasco
Peñascos,Peñasco
peñascos,Peñasco
Peninsula,Península
Península,Península
península,Península
Península,Península
península,Península
personas blancas,Blanco
Peruleros,Perulero
picacho,Picacho
Picacho,Picacho
picacho,Picacho
Picachos,Picacho
picachos,Picacho
Pico,Pico
Piedra,Piedra
Placer de arena,Placer
plantación,Plantación
Plantación,Plantación
plantación,Plantación
plantaciones,Plantación
Playa,Playa
playa,Playa
Playa,Playa
playa,Playa
Playa,Playa
playa,Playa
Playa,Playa
Playas,Playa
playas,Playa
Playas,Playa
playas,Playa
Playas,Playa
playas,Playa
Playas,Playa
Playón,Playón
playón,Playón
Plaza,Plaza
plaza,Plaza
Plaza,Plaza
Plaza de armas,Plaza De Armas
Plazas,Plaza
Población,Población
población,Población
Población,Población
población,Población
Población,Población
población,Población
Población,Población
población,Población
Población,Población
población,Población
población capital,Población
Población de reducción,Población
Poblaciones,Población
poblaciones,Población
Poblaciones,Población
poblaciones,Población
Pongo,Pongo
potreros,Potrero
prado,Prado
prados,Prado
Presid.a,Presidencia
Presidencia,Presidencia
presidio,Presidio
Presidio,Presidio
presidio,Presidio
Presidio,Presidio
presidio,Presidio
Presidio,Presidio
presidio,Presidio
Presidio,Presidio
presidio,Presidio
presidios,Presidio
Presidios,Presidio
presidios,Presidio
Presidios,Presidio
presidios,Presidio
Principado,Principado
promontorio,Promontorio
Promontorio,Promontorio
promontorio,Promontorio
Promontorio,Promontorio
promontorio,Promontorio
Promontorio,Promontorio
promontorio,Promontorio
Promontorio,Promontorio
PROMONTORIOS,Promontorio
promontorios,Promontorio
PROMONTORIOS,Promontorio
Provincia,Provincia
provincia,Provincia
Provincia,Provincia
provincia,Provincia
Provincia,Provincia
provincia,Provincia
Provincia,Provincia
provincia,Provincia
Provincias,Provincia
provincias,Provincia
Puchuela,Puchuela
Pue blo,Pueblo
Pueblecillo,Pueblecillo
Pueblecillos,Pueblecillo
pueblecillos,Pueblecillo
Pueblecillos de Indios,Pueblecillo
Pueblecito,Pueblecito
Pueblecitos,Pueblecito
Pueblo,Pueblo
Pueblo antiguo de Indios,Pueblo
Pueblo Cabezera de Partido,Pueblo
pueblo de indios,Pueblo
Pueblo de indios,Pueblo
Pueblo de Indios,Pueblo
pueblo de Indios,Pueblo
Pueblo de Indios,Pueblo
Pueblo de indios,Pueblo
Pueblo de Indios,Pueblo
Pueblo de Indios salvages,Pueblo
Pueblo grande de Indios,Pueblo
Pueblo pequeño de Indios,Pueblo
Pueblo principal,Pueblo
Pueblocillos,Pueblecillo
Pueblos,Pueblo
PUEBLOS,Pueblo
Pueblos,Pueblo
PUEBLOS,Pueblo
Pueblos,Pueblo
PUEBLOS,Pueblo
pueblos,Pueblo
Pueblos Cabeceras de partido,Pueblo
Pueblos cabeceras de Partido,Pueblo
Pueblos Cabeceras de Partido,Pueblo
Pueblos Cabeceras de partido,Pueblo
Pueblos Cabezas de partido,Pueblo
Pueblos Capitales,Pueblo
Pueblos de Indios,Pueblo
Pueblos de reducciones,Pueblo
Pueblos pequeños de Indios,Pueblo
Pueblos principales,Pueblo
Pueblos,Pueblo
puente,Puente
Puertecillo,Puertecillo
Puerto,Puerto
puerto,Puerto
Puerto,Puerto
puerto,Puerto
