document id;document_name;id_x;annotation;context;start_offset;end_offset;annotator_id;annotator_name;tag_name;color;annotation_id
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Ulster ;, Pueblo del Condado de ***Ulster ***en la Provincia y Colonia;2102;2109;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_B4A74A72-D043-4625-8BAE-ABB41DF7918C
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Nueva Cambridge;14 al NE de la ***Nueva Cambridge***, 6 al SO de;3073;3088;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_A35240A9-174F-4E53-B855-1C2727C6F99C
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;S. Juan Xiquipilco;"S. Francisco Xonacatlán.
***S. Juan Xiquipilco***.
Santiago Temoya.
S";4403;4421;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_1FE5FD20-C43A-40B8-A5D9-D192E81D6894
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Asunción Yalatlaco;"S. Miguel Mimialpa.
***Asunción Yalatlaco***.
S. Mateo Tlachichilpa";4753;4771;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_DA0DA0F9-DCE8-4B71-B0E8-D20CD33F546C
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;S. Lorenzo Huitzizilapa;"Xiquipilco.
Santiago Temoya.
***S. Lorenzo Huitzizilapa***.
S. Gerónimo Amanalco";4442;4465;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_759CB2FD-6F99-4D78-A34E-28DD8AE1A55E
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Quitasueños ;", entre los baxos de ***Quitasueños ***y la Serranilla.

§";7230;7242;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_A9C2C12D-404A-4C49-86F4-7AD40C3C3BB5
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;S. Pedro de Tultepec;"S. Miguel Temazcalzingo.
***S. Pedro de Tultepec***. 
S. Francisco Chichicocuitla";4323;4343;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_06C38DCE-68B6-48D9-B92B-3A71EF0F1911
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Castillo Grande;"de agua; el segundo ***Castillo Grande***, que es donde habita";9614;9629;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity;#00760C;CATMA_998AC49F-658B-43B1-93EA-8AE228D4305D
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Pernambuco ;la Provincia y Capitanía de ***Pernambuco ***en el Brasil, situado;6399;6410;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_8FB4415A-FE08-4D5D-A55A-C6F8EB9CC8CF
D_52B095FC-DE9C-405E-9B6F-E5954FCF8AD2;SAMPLETEXT A;9997;Espíritu Santo;"la Virgen María y del ***Espíritu Santo***.

§§§id";7518;7532;C_BC2D6AB3-6157-4E86-B41F-A9A308DDC53B;SAMPLETEXT A Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_0E4C7609-004E-432C-83D2-A91E559BE977
