document id;document_name;id_x;annotation;context;start_offset;end_offset;annotator_id;annotator_name;tag_name;color;annotation_id
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Cajatambo ;la Provincia y Corregimiento de ***Cajatambo ***en el propio Reyno,;798;808;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_2471C286-1E6F-4F56-86B4-070F061C4843
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Lucanas ;la Provincia y Corregimiento de ***Lucanas ***en el Perú, anexo;431;439;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_B03C4973-CD79-4CA5-9A16-7F4DD87A79E3
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;San Lorenzo de Quinti;", anexo al Curato de ***San Lorenzo de Quinti***.

§§§id";687;708;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_8F0208BB-D049-4E9F-B16A-674424DBB790
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Analco ;de la Alcaldía mayor de ***Analco ***en el Reyno de Nueva;5409;5416;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_820A4446-DDE4-4753-9696-9EE248EACDEA
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Valládolid o Comayagua;"cometido. La Capital es ***Valládolid o Comayagua***. 

§§§id";3779;3801;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_5BA0F80A-85F8-4A03-8247-710F9CC5D812
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Estrella;agua dulce que llaman la ***Estrella***, conociéndose materialmente la división;5037;5045;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_D11ACCDE-A962-459A-9C39-7F8CAE48ADFF
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Tierra-Firme;maná en el Reyno de ***Tierra-Firme***: nace en la Mesa;1027;1039;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_F65EA32A-70A8-43D2-90BE-B57DE777D9ED
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Brasil;Capitanía de Sergipe en el ***Brasil***, nace cerca de la;8644;8650;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_68AFAFCB-719E-4267-B2DF-524EAE90C989
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Chongos;", anexo al Curato de ***Chongos***.

§§§id";348;355;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_CFD793F3-77A7-428F-9073-8A9F420E4FE7
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Terranova;meridional de la Isla de ***Terranova***, con una célebre Bahía;6398;6407;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_CE5A6C05-4F8B-4DB6-B4E5-E5AE8B3C2C38
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Tierra Firme;grande de la Costa de ***Tierra Firme*** en la Provincia y Gobierno;1594;1606;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_4A1D74CD-1E0B-433A-889D-E452710B73A7
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Santo Domingo;Franceses en la Isla de ***Santo Domingo***, situado a orilla de;7974;7987;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_412C9AC6-FBD0-4DA0-9BE6-7D85959B6267
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Santo Domingo;#de la Isla de ***Santo Domingo***, situado en la Costa;9017;9030;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_80634B8C-9E0B-4289-929F-8781F28346BC
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Christóval de Olid;mucho. Conquistó este país ***Christóval de Olid***, Estremeño, uno de;3440;3458;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_NonGeoEntity_Person;#00EFFD;CATMA_A79642B6-36A8-463F-AD3F-BABF17F6A8A8
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Albemarle;Virginia en el Condado de ***Albemarle***, corre al NE,;9231;9240;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_9FDF74B4-F3C3-4E1D-9AE5-013016518A10
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;San Lorenzo;"Couhuacán.
Santiago Chahmaltepeque.
***San Lorenzo***.
San Mateo Huitzolopoztco,";4360;4371;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_A2DA732F-3EE9-489B-BD81-B99567A1D37A
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Pomacocha;", anexo al Curato de ***Pomacocha***.

§§§id";223;232;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_C568AACE-B7BB-45F0-AF58-3D7748834BAC
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Sergipe;"mar en la Bahía de ***Sergipe***. 

§§§id";8719;8726;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_311AAEE7-94A8-44F7-A3C2-B846CF27125C
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Huailas ;"la Provincia y Corregimiento de ***Huailas ***en el Perú.

§";924;932;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_06DD16BA-EABB-4531-8216-8E81506A35DC
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Nueva Galicia;"Analco en el Reyno de ***Nueva Galicia*** y Obispado de Guadalaxara;";5431;5444;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Territory;#2FA700;CATMA_E0C35124-BE3F-434F-A7C3-DFE429F7C2FD
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Boursaul;"los de Caillou y de ***Boursaul***.

§§§id";6095;6103;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_343A9E74-9A6C-4328-ABAF-1E6A2578F8C3
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Hangaro;"el mayor es el de ***Hangaro***; en todos abunda el";2629;2636;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Landmark;#C0BF96;CATMA_4EBA1A9F-9205-4BE2-88BA-1C7B9DDBCA1A
D_F79B01DD-40E4-4947-93EC-0114F7C19F03;SAMPLETEXT B;10067;Laramate;", anexo al Curato de ***Laramate***.

§§§id";470;478;C_4CA9187A-8421-4DF8-B0E0-60EF7266430E;SAMPLETEXT B Default Annotations;_GeoEntity_Settlement;#31D800;CATMA_46DA2717-86F7-45CD-9686-AD19C0966D1C
